시리얼,조도1 (%),전력량1 (Wh),등록 일시,구분
KCN-1116,0,0,2023-06-01 0:00,일반군
KCN-1116,0,0,2023-06-01 1:00,일반군
KCN-1116,0,0,2023-06-01 2:00,일반군
KCN-1116,0,0,2023-06-01 3:00,일반군
KCN-1116,0,0,2023-06-01 4:00,일반군
KCN-1116,0,0,2023-06-01 5:00,일반군
KCN-1116,0,0,2023-06-01 6:00,일반군
KCN-1116,0,0,2023-06-01 7:00,일반군
KCN-1116,80,40,2023-06-01 8:00,일반군
KCN-1116,80,40,2023-06-01 9:00,일반군
KCN-1116,80,40,2023-06-01 10:00,일반군
KCN-1116,80,40,2023-06-01 11:00,일반군
KCN-1116,80,40,2023-06-01 12:00,일반군
KCN-1116,80,40,2023-06-01 13:00,일반군
KCN-1116,80,40,2023-06-01 14:00,일반군
KCN-1116,80,40,2023-06-01 15:00,일반군
KCN-1116,80,40,2023-06-01 16:00,일반군
KCN-1116,80,40,2023-06-01 17:00,일반군
KCN-1116,80,40,2023-06-01 18:00,일반군
KCN-1116,80,40,2023-06-01 19:00,일반군
KCN-1116,0,0,2023-06-01 20:00,일반군
KCN-1116,0,0,2023-06-01 21:00,일반군
KCN-1116,0,0,2023-06-01 22:00,일반군
KCN-1116,0,0,2023-06-01 23:00,일반군
KCN-1116,0,0,2023-06-02 0:00,일반군
KCN-1116,0,0,2023-06-02 1:00,일반군
KCN-1116,0,0,2023-06-02 2:00,일반군
KCN-1116,0,0,2023-06-02 3:00,일반군
KCN-1116,0,0,2023-06-02 4:00,일반군
KCN-1116,0,0,2023-06-02 5:00,일반군
KCN-1116,0,0,2023-06-02 6:00,일반군
KCN-1116,0,0,2023-06-02 7:00,일반군
KCN-1116,80,40,2023-06-02 8:00,일반군
KCN-1116,80,40,2023-06-02 9:00,일반군
KCN-1116,80,40,2023-06-02 10:00,일반군
KCN-1116,80,40,2023-06-02 11:00,일반군
KCN-1116,0,0,2023-06-02 12:00,일반군
KCN-1116,80,40,2023-06-02 13:00,일반군
KCN-1116,80,40,2023-06-02 14:00,일반군
KCN-1116,80,40,2023-06-02 15:00,일반군
KCN-1116,80,40,2023-06-02 16:00,일반군
KCN-1116,80,40,2023-06-02 17:00,일반군
KCN-1116,80,40,2023-06-02 18:00,일반군
KCN-1116,80,40,2023-06-02 19:00,일반군
KCN-1116,0,0,2023-06-02 20:00,일반군
KCN-1116,0,0,2023-06-02 21:00,일반군
KCN-1116,0,0,2023-06-02 22:00,일반군
KCN-1116,0,0,2023-06-02 23:00,일반군
KCN-1116,0,0,2023-06-03 0:00,일반군
KCN-1116,0,0,2023-06-03 1:00,일반군
KCN-1116,0,0,2023-06-03 2:00,일반군
KCN-1116,0,0,2023-06-03 3:00,일반군
KCN-1116,0,0,2023-06-03 4:00,일반군
KCN-1116,0,0,2023-06-03 5:00,일반군
KCN-1116,0,0,2023-06-03 6:00,일반군
KCN-1116,0,0,2023-06-03 7:00,일반군
KCN-1116,80,40,2023-06-03 8:00,일반군
KCN-1116,0,0,2023-06-03 9:00,일반군
KCN-1116,80,40,2023-06-03 10:00,일반군
KCN-1116,80,40,2023-06-03 11:00,일반군
KCN-1116,80,40,2023-06-03 12:00,일반군
KCN-1116,80,40,2023-06-03 13:00,일반군
KCN-1116,80,40,2023-06-03 14:00,일반군
KCN-1116,80,40,2023-06-03 15:00,일반군
KCN-1116,80,40,2023-06-03 16:00,일반군
KCN-1116,80,40,2023-06-03 17:00,일반군
KCN-1116,80,40,2023-06-03 18:00,일반군
KCN-1116,80,40,2023-06-03 19:00,일반군
KCN-1116,0,0,2023-06-03 20:00,일반군
KCN-1116,0,0,2023-06-03 21:00,일반군
KCN-1116,0,0,2023-06-03 22:00,일반군
KCN-1116,0,0,2023-06-03 23:00,일반군
KCN-1116,0,0,2023-06-04 0:00,일반군
KCN-1116,0,0,2023-06-04 1:00,일반군
KCN-1116,0,0,2023-06-04 2:00,일반군
KCN-1116,0,0,2023-06-04 3:00,일반군
KCN-1116,0,0,2023-06-04 4:00,일반군
KCN-1116,0,0,2023-06-04 5:00,일반군
KCN-1116,0,0,2023-06-04 6:00,일반군
KCN-1116,0,0,2023-06-04 7:00,일반군
KCN-1116,80,40,2023-06-04 8:00,일반군
KCN-1116,80,40,2023-06-04 9:00,일반군
KCN-1116,80,40,2023-06-04 10:00,일반군
KCN-1116,80,40,2023-06-04 11:00,일반군
KCN-1116,80,40,2023-06-04 12:00,일반군
KCN-1116,80,40,2023-06-04 13:00,일반군
KCN-1116,80,40,2023-06-04 14:00,일반군
KCN-1116,80,40,2023-06-04 15:00,일반군
KCN-1116,80,40,2023-06-04 16:00,일반군
KCN-1116,80,40,2023-06-04 17:00,일반군
KCN-1116,80,40,2023-06-04 18:00,일반군
KCN-1116,80,40,2023-06-04 19:00,일반군
KCN-1116,0,0,2023-06-04 20:00,일반군
KCN-1116,0,0,2023-06-04 21:00,일반군
KCN-1116,0,0,2023-06-04 22:00,일반군
KCN-1116,0,0,2023-06-04 23:00,일반군
KCN-1116,0,0,2023-06-05 0:00,일반군
KCN-1116,0,0,2023-06-05 1:00,일반군
KCN-1116,0,0,2023-06-05 2:00,일반군
KCN-1116,0,0,2023-06-05 3:00,일반군
KCN-1116,0,0,2023-06-05 4:00,일반군
KCN-1116,0,0,2023-06-05 5:00,일반군
KCN-1116,0,0,2023-06-05 6:00,일반군
KCN-1116,0,0,2023-06-05 7:00,일반군
KCN-1116,80,40,2023-06-05 8:00,일반군
KCN-1116,0,0,2023-06-05 9:00,일반군
KCN-1116,80,40,2023-06-05 10:00,일반군
KCN-1116,80,40,2023-06-05 11:00,일반군
KCN-1116,0,0,2023-06-05 12:00,일반군
