시리얼,전력량1 (Wh),조도1 (%),등록일시,구분
KCN-0730,0,0,2023-06-01 0:00,일반군
KCN-0730,0,0,2023-06-01 1:00,일반군
KCN-0730,0,0,2023-06-01 2:00,일반군
KCN-0730,0,0,2023-06-01 3:00,일반군
KCN-0730,0,0,2023-06-01 4:00,일반군
KCN-0730,0,0,2023-06-01 5:00,일반군
KCN-0730,0,0,2023-06-01 6:00,일반군
KCN-0730,95,88,2023-06-01 7:00,일반군
KCN-0730,19,99,2023-06-01 8:00,일반군
KCN-0730,77,14,2023-06-01 9:00,일반군
KCN-0730,17,38,2023-06-01 10:00,일반군
KCN-0730,42,98,2023-06-01 11:00,일반군
KCN-0730,49,17,2023-06-01 12:00,일반군
KCN-0730,11,17,2023-06-01 13:00,일반군
KCN-0730,60,66,2023-06-01 14:00,일반군
KCN-0730,59,93,2023-06-01 15:00,일반군
KCN-0730,95,10,2023-06-01 16:00,일반군
KCN-0730,16,63,2023-06-01 17:00,일반군
KCN-0730,83,36,2023-06-01 18:00,일반군
KCN-0730,37,84,2023-06-01 19:00,일반군
KCN-0730,62,81,2023-06-01 20:00,일반군
KCN-0730,41,62,2023-06-01 21:00,일반군
KCN-0730,29,29,2023-06-01 22:00,일반군
KCN-0730,0,0,2023-06-01 23:00,일반군
KCN-0730,0,0,2023-06-02 0:00,일반군
KCN-0730,0,0,2023-06-02 1:00,일반군
KCN-0730,0,0,2023-06-02 2:00,일반군
KCN-0730,0,0,2023-06-02 3:00,일반군
KCN-0730,0,0,2023-06-02 4:00,일반군
KCN-0730,0,0,2023-06-02 5:00,일반군
KCN-0730,0,0,2023-06-02 6:00,일반군
KCN-0730,17,90,2023-06-02 7:00,일반군
KCN-0730,74,94,2023-06-02 8:00,일반군
KCN-0730,29,16,2023-06-02 9:00,일반군
KCN-0730,63,63,2023-06-02 10:00,일반군
KCN-0730,89,53,2023-06-02 11:00,일반군
KCN-0730,83,96,2023-06-02 12:00,일반군
KCN-0730,27,78,2023-06-02 13:00,일반군
KCN-0730,73,19,2023-06-02 14:00,일반군
KCN-0730,48,38,2023-06-02 15:00,일반군
KCN-0730,61,49,2023-06-02 16:00,일반군
KCN-0730,47,27,2023-06-02 17:00,일반군
KCN-0730,70,29,2023-06-02 18:00,일반군
KCN-0730,37,55,2023-06-02 19:00,일반군
KCN-0730,35,71,2023-06-02 20:00,일반군
KCN-0730,52,66,2023-06-02 21:00,일반군
KCN-0730,91,22,2023-06-02 22:00,일반군
KCN-0730,0,0,2023-06-02 23:00,일반군
KCN-0730,0,0,2023-06-03 0:00,일반군
KCN-0730,0,0,2023-06-03 1:00,일반군
KCN-0730,0,0,2023-06-03 2:00,일반군
KCN-0730,0,0,2023-06-03 3:00,일반군
KCN-0730,0,0,2023-06-03 4:00,일반군
KCN-0730,0,0,2023-06-03 5:00,일반군
KCN-0730,0,0,2023-06-03 6:00,일반군
KCN-0730,65,66,2023-06-03 7:00,일반군
KCN-0730,57,19,2023-06-03 8:00,일반군
KCN-0730,71,55,2023-06-03 9:00,일반군
KCN-0730,82,59,2023-06-03 10:00,일반군
KCN-0730,68,19,2023-06-03 11:00,일반군
KCN-0730,73,26,2023-06-03 12:00,일반군
KCN-0730,92,33,2023-06-03 13:00,일반군
KCN-0730,75,47,2023-06-03 14:00,일반군
KCN-0730,15,50,2023-06-03 15:00,일반군
KCN-0730,22,30,2023-06-03 16:00,일반군
KCN-0730,86,55,2023-06-03 17:00,일반군
KCN-0730,70,55,2023-06-03 18:00,일반군
KCN-0730,28,80,2023-06-03 19:00,일반군
KCN-0730,50,62,2023-06-03 20:00,일반군
KCN-0730,58,48,2023-06-03 21:00,일반군
KCN-0730,65,23,2023-06-03 22:00,일반군
KCN-0730,0,0,2023-06-03 23:00,일반군
KCN-0730,0,0,2023-06-04 0:00,일반군
KCN-0730,0,0,2023-06-04 1:00,일반군
KCN-0730,0,0,2023-06-04 2:00,일반군
KCN-0730,0,0,2023-06-04 3:00,일반군
KCN-0730,0,0,2023-06-04 4:00,일반군
KCN-0730,0,0,2023-06-04 5:00,일반군
KCN-0730,0,0,2023-06-04 6:00,일반군
KCN-0730,36,46,2023-06-04 7:00,일반군
KCN-0730,50,12,2023-06-04 8:00,일반군
KCN-0730,43,70,2023-06-04 9:00,일반군
KCN-0730,76,73,2023-06-04 10:00,일반군
KCN-0730,12,44,2023-06-04 11:00,일반군
KCN-0730,64,89,2023-06-04 12:00,일반군
KCN-0730,10,57,2023-06-04 13:00,일반군
KCN-0730,33,81,2023-06-04 14:00,일반군
KCN-0730,19,22,2023-06-04 15:00,일반군
KCN-0730,60,77,2023-06-04 16:00,일반군
KCN-0730,55,14,2023-06-04 17:00,일반군
KCN-0730,78,91,2023-06-04 18:00,일반군
KCN-0730,66,82,2023-06-04 19:00,일반군
